major_category_id,major_category,subcategory_id,subcategory,reference_amount
A,Bakery Products,A.1,Bread,75 g
A,Bakery Products,A.2,"Bun, tortilla, pita",55 g
A,Bakery Products,A.3,"Bagel, naan, flatbread",85 g
A,Bakery Products,A.4,"Brownie, dessert square",40 g
A,Bakery Products,A.5,Heavy weight cake,125 g
A,Bakery Products,A.6,Medium weight cake,80 g
A,Bakery Products,A.7,Light weight cake,55 g
A,Bakery Products,A.8,"Sweet roll, flaky pastry",55 g
A,Bakery Products,A.9,Muffin,110 g
A,Bakery Products,A.10,Cookie,30 g
A,Bakery Products,A.11,Accompaniment cracker,20 g
A,Bakery Products,A.12,Snack cracker,30 g
A,Bakery Products,A.13,Dry bread,30 g
A,Bakery Products,A.14,Toaster pastry,55 g
A,Bakery Products,A.15,Ice cream cone,5 g
A,Bakery Products,A.16,Crouton,7 g
A,Bakery Products,A.17,"Pancake, waffle",75 g
A,Bakery Products,A.18,Grain bar with filling or coating,40 g
A,Bakery Products,A.19,Grain bar without filling or coating,30 g
A,Bakery Products,A.20,Energy or protein bar,45 g
A,Bakery Products,A.21,"Rice cake, corn cake",15 g
A,Bakery Products,A.22,"Pie, tart",110 g
A,Bakery Products,A.23,Pie crust,21 g
A,Bakery Products,A.24,Pizza crust,55 g
A,Bakery Products,A.25,Taco shell (hard),30 g
B,Beverages,B.1,Carbonated or non-carbonated beverage ,375 mL
B,Beverages,B.2,Alcoholic beverage,"188 mL wine, sangria, spritzer"
B,Beverages,B.2,Alcoholic beverage,333 mL beer
B,Beverages,B.2,Alcoholic beverage,333 mL other
B,Beverages,B.3,Coffee,250 mL coffee
B,Beverages,B.3,Coffee,30 mL espresso
B,Beverages,B.4,Tea (hot),250 mL
B,Beverages,B.5,Cocoa or chocolate beverage (hot),250 mL
C,Cereals and Other Grain Products,C.1,Breakfast cereal (hot),40 g dry
C,Cereals and Other Grain Products,C.1,Breakfast cereal (hot),250 mL prepared
C,Cereals and Other Grain Products,C.2,Breakfast cereal (RTE) less than 20 g per 250 mL,15 g
C,Cereals and Other Grain Products,C.3,Breakfast cereal (RTE) 20 to 42 g per 250 mL,30 g
C,Cereals and Other Grain Products,C.4,Breakfast cereal (RTE) 43 g or more per 250 mL,55 g
C,Cereals and Other Grain Products,C.5,"Bran, wheat germ, chia",15 g
C,Cereals and Other Grain Products,C.6,"Flour, cornmeal",30 g
C,Cereals and Other Grain Products,C.7,Rice or other grain,45 g dry
C,Cereals and Other Grain Products,C.7,Rice or other grain,140 g cooked
C,Cereals and Other Grain Products,C.8,Pasta without sauce,85 g dry
C,Cereals and Other Grain Products,C.8,Pasta without sauce,215 g cooked
C,Cereals and Other Grain Products,C.9,Pasta dry and RTE,25 g
C,Cereals and Other Grain Products,C.10,Starch,10 g
C,Cereals and Other Grain Products,C.11,Stuffing,100 g
D,Dairy Products and Substitutes,D.1,"Cheese, cheese spread",30 g
D,Dairy Products and Substitutes,D.2,Cottage cheese,125 g
D,Dairy Products and Substitutes,D.3,Cheese as an ingredient,55 g
D,Dairy Products and Substitutes,D.4,Hard cheese,15 g
D,Dairy Products and Substitutes,D.5,"Quark, fresh cheese",100 g
D,Dairy Products and Substitutes,D.6,Cream liquid,15 mL
